射雕英雄传之东成西就,"主演：张国荣,梁朝伟,张学友",1993-02-05
十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13
剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特",1990-12-06
乱世佳人,"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15
初恋这件小事,"主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012-06-05
泰坦尼克号,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03
搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-09-10
海上钢琴师,"主演：蒂姆·罗斯,比尔·努恩,克兰伦斯·威廉姆斯三世",2019-11-15
甜蜜蜜,"主演：黎明,张曼玉,杜可风",2015-02-13
肖申克的救赎,"主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10
疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20
钢琴家,"主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-05-24
蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-14
哈利·波特与魔法石,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002-01-26
美丽人生,"主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",2020-01-03
楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998(罗马尼亚)
七武士,"主演：三船敏郎,志村乔,千秋实",1954-04-26
上帝之城,"主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",2002(俄罗斯)
音乐之声,"主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02
完美的世界,"主演：凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",1993-11-24
飞越疯人院,"主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975-11-19
三傻大闹宝莱坞,"主演：阿米尔·汗,黄渤,卡琳娜·卡普",2011-12-08
黄金三镖客,"主演：克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",1966-12-23
美国往事,"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",2015-04-23
倩女幽魂,"主演：张国荣,王祖贤,午马",2011-04-30
英雄本色,"主演：狄龙,张国荣,周润发",2017-11-17
断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2005-09-02
春光乍泄,"主演：张国荣,梁朝伟,张震",1997-05-17
触不可及,"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011-11-02
喜剧之王,"主演：周星驰,莫文蔚,张柏芝",1999-02-13
迁徙的鸟,"主演：雅克·贝汉,菲利普·拉布罗",2001-12-12
唐伯虎点秋香,"主演：周星驰,巩俐,郑佩佩",1993-07-01
驯龙高手,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010-05-14
狮子王,"主演：马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",1995-07-15
罗马假日,"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-08-20
海豚湾,"主演：里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009-07-31
辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-11-30
窃听风暴,"主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23
我爱你,"主演：宋在浩,李顺才,尹秀晶",2011-02-17
黑客帝国3：矩阵革命,"主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003-11-05
