疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20
钢琴家,"主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-05-24
蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-14
哈利·波特与魔法石,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002-01-26
美丽人生,"主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",2020-01-03
楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998(罗马尼亚)
七武士,"主演：三船敏郎,志村乔,千秋实",1954-04-26
上帝之城,"主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",2002(俄罗斯)
音乐之声,"主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02
完美的世界,"主演：凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",1993-11-24
大话西游之月光宝盒,"主演：周星驰,莫文蔚,吴孟达",2014-10-24
海洋,"主演：雅克·贝汉,姜文,兰斯洛特·佩林",2011-08-12
指环王3：王者无敌,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004-03-15
霸王别姬,"主演：张国荣,张丰毅,巩俐",1993-07-26
放牛班的春天,"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004-10-16
千与千寻,"主演：柊瑠美,周冬雨,入野自由",2019-06-21
哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",2004-09-05
指环王1：护戒使者,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2002-04-04
指环王2：双塔奇兵,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2003-04-25
无敌破坏王,"主演：约翰·C·赖利,萨拉·西尔弗曼,简·林奇",2012-11-06
魂断蓝桥,"主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森",1940-05-17
素媛,"主演：李甄,薛耿求,严智苑",2013-10-02
天空之城,"主演：寺田农,鹫尾真知子,龟山助清",1992-05-01
7号房的礼物,"主演：柳承龙,郑镇荣,朴信惠",2013-01-23
天堂电影院,"主演：菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",1988-09-29
无间道,"主演：刘德华,梁朝伟,黄秋生",2003-09-05
风之谷,"主演：岛本须美,永井一郎,坂本千夏",1992-05
美丽心灵,"主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",2001-12-13
小鞋子,"主演：默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",1997(伊朗)
穿条纹睡衣的男孩,"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-08-28
